smiles,logS
CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-5.184
CCCCC(CC)CO,-2.11
CNc1ccccc1,-1.28
Clc1ccc2ccccc2c1,-4.14
CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,-5.24
CCCCCCCCCCCCCCCC,-8.4
N(=Nc1ccccc1)c2ccccc2,-4.45
CNC(=O)ON=C(CSC)C(C)(C)C ,-1.62
CCCCCCCCCCCCCC,-7.96
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34
c1cc2ccc3cccc4ccc(c1)c2c34,-6.176
O=C2NC(=O)C1(CCCCCC1)C(=O)N2 ,-3.168
CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,-4.8
CNN,1.34
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl ,-8.71
Clc1cccc(c1)N(=O)=O,-2.77
CN(C)C(=S)SSC(=S)N(C)C ,-3.9
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,-8.01
CCOc1ccccc1,-2.33
CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-5.37
Cc1cccc(C)c1C,-3.2
CC(C)C,-2.55
CCCCN(CC)C(=O)SCCC,-3.53
CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,-4.7
CCCCCCC(=O)C,-2.05
Brc1cccc(Br)c1,-3.54
COC(=O)c1ccc(O)cc1,-1.827
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.018
ClCC(Cl)Cl,-1.48
CN(C)C(=O)N(C)C ,0.94
CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O ,-2.3
Clc1ccc(cc1Cl)c2ccccc2 ,-6.39
OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5 ,-4.445
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.337000000000001
COc1ccccc1Cl,-2.46
C/C=C/C=O,0.32
CCC(C)CO,-0.47
C=CCC=C,-2.09
CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,-4.66
ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl ,-4.19
Clc1cccc(Cl)c1c2c(Cl)cccc2Cl ,-7.39
BrC(Br)(Br)Br,-3.14
CC1(C)CON(Cc2ccccc2Cl)C1=O,-2.338
O=C1CCCCC1,-0.6
CC(C)CCCO,-1.14
ClC1(C2(Cl)C3(Cl)C4(Cl)C5(Cl)C1(Cl)C3(Cl)Cl)C5(Cl)C(Cl)(Cl)C24Cl,-6.8
c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,-9.332
CCCC=O,-0.01
CCCCCCCC=C,-5.05
CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,-2.518
CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,-5.36
ClCCCl,-1.06
Clc1cccc(Br)c1,-3.21
O=c1[nH]cnc2nc[nH]c12 ,-2.296
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369
Brc1ccc2ccccc2c1,-4.4
Cc1ccc(N)cc1,-1.21
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301
COCCCNc1nc(NC(C)C)nc(SC)n1,-2.928
Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,-7.28
CC(=O)N,1.58
CCN2c1ccccc1N(C)C(=S)c3cccnc23 ,-4.706
COc1ccc(cc1)N(=O)=O,-2.41
CCCCCCCCCCCCCCCO,-6.35
CCc1ccccn1,0.51
COC(=O)c1cccnc1 ,-0.46
CCCCCC=C,-3.73
CCC(C)(O)CC,-0.36
CCCCCCCCC,-5.88
c1c(Br)ccc2ccccc12 ,-4.4
OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O,-2.111
Clc1ccccc1N(=O)=O,-2.55
COc1ccc(C=CC)cc1,-3.13
O=C1NC(=O)NC(=O)C1(CC)CCC(C)C,-2.658
OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F ,-1.8
CC12CC2(C)C(=O)N(C1=O)c3cc(Cl)cc(Cl)c3,-4.8
CCc1cccc(CC)c1N(COC)C(=O)CCl ,-3.26
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-7.278
Oc1cccc2ncccc12 ,-2.54
c1(O)cc(O)ccc1CCCCCC,-2.59
c2ccc1NCCc1c2 ,-1.04
Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,-3.499
Cc1cc(=O)n(c2ccccc2)n1C,0.715
Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-7.92
CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2,-5.382000000000001
CCCCCC(C)O,-1.55
CCCC(=O)CC,-0.83
CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,-4.16
CCCCC(C)CC,-5.16
CCCCCOC(=O)CC,-1.28
CCOC(=O)c1ccc(O)cc1,-2.35
CCC(C)(C)CC,-4.23
CC(C)CCO,-0.51
CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,-3.43
CCCCC(O)CC,-1.47
Clc1ccccc1Br,-3.19
CN(C)C(=O)NC1CCCCCCC1,-2.218
CCCC(C)(C)CO,-1.52
CNC(=O)C=C(C)OP(=O)(OC)OC,0.6509999999999999
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89
CC34CCC1C(CCC2=CC(=O)CCC12O)C3CCC4(O)C#C,-4.57
CCCCCCc1ccccc1,-5.21
CC(C)C(C)O,-0.18
Oc1cccc2cccnc12 ,-2.42
CCCCCc1ccccc1,-4.64
ClC(Cl)C(Cl)(Cl)Cl,-2.6
CCCCCCCCl,-4.0
CCCCC=C,-3.23
Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-5.46
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25
ClC(Cl)CC(=O)NC2=C(Cl)C(=O)c1ccccc1C2=O,-5.03
CCCCCCCCCC(=O)OC,-4.69
CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.877
CCCCCCCCCCCCCCO,-5.84
COc1ccccc1OCC(O)COC(N)=O,-0.985
CC(=C)C,-2.33
CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 ,-3.81
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02
CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,-4.13
CC1=C(CCCO1)C(=O)Nc2ccccc2 ,-2.56
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805
Nc1ccccc1N(=O)=O,-1.96
C1CCCCCCC1,-4.15
CCCCC,-3.18
Clc1cc(Cl)c(Cl)cc1Cl,-5.56
CCCC#C,-1.64
c1cncnc1,1.1
CCCCCCCCCCCCCCCCCCO,-8.4
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,-4.71
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O,-3.955
COc1ccccc1O ,-1.96
Oc1ccccc1O,0.62
COC=O,0.58
CC1=C(SCCO1)C(=O)Nc2ccccc2,-3.14
CCN(CC)C(=S)SCC(Cl)=C,-3.39
CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45,-4.173
CCCC(C)(C)O,-0.49
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37
CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O ,-3.85
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,-4.571000000000001
COc1ccccc1N(=O)=O,-1.96
CC1=CC(=O)CC(C)(C)C1 ,-1.06
Cc1ccc(O)cc1,-0.73
CC(C)=CCCC(C)=CC(=O),-2.06
C1CC=CC1,-2.1
CC(C)CCOC(=O)C,-1.92
NC(=S)Nc1ccccc1,-1.77
CCCC(=C)C,-3.03
O=C1NC(=O)NC(=O)C1(CC)C(C)CCC,-2.39
Cc1cc(=O)[nH]c(=S)[nH]1,-2.436
Cc1cccc2c(C)cccc12,-4.678999999999999
CCOC(=O)CC(=O)OCC,-0.82
O=C(C=CC=Cc2ccc1OCOc1c2)N3CCCCC3,-3.46
ClCBr,-0.89
CCCCN(CC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.53
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.402000000000001
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-7.68
ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-6.317
CN(=O)=O,0.26
Oc1c(I)cc(C#N)cc1I,-3.61
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,-2.322
Fc1ccccc1Br,-2.7
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC ,-5.115
CNC(=O)Oc1cc(C)cc(C)c1,-2.5810000000000004
Cc2cnc1cncnc1n2,-0.8540000000000001
NC(=N)NS(=O)(=O)c1ccc(N)cc1 ,-1.99
CC=C(C)C,-2.56
c1ccc2ncccc2c1,-1.3
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,-1.601
Fc1cccc(F)c1,-2.0
C=CC=C,-1.87
Nc3cc2c1ccccc1ccc2c4ccccc34 ,-6.2
c1(O)c(C)ccc(C(C)C)c1,-2.08
CCc1ccccc1,-2.77
N#Cc1ccccc1,-1.0
NC(=O)CCl ,-0.02
Nc1ccccc1Cl,-1.52
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-4.7
NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl ,-2.63
CN(C)C(=O)Nc2ccc(Oc1ccc(Cl)cc1)cc2,-4.89
CCc1cccc2ccccc12,-4.17
CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2,-4.376
Nc1cc[nH]c(=O)n1 ,-1.155
Cc1cccc2c1ccc3ccccc32,-5.85
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-4.522
Cc1c(C)c(C)c(C)c(C)c1C,-5.23
CCC(C)(C)O,0.15
CCC(CC)C=O,-1.52
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09
FC(F)(Cl)C(F)(Cl)Cl,-3.04
Oc1ccc2ccccc2c1,-2.28
CCOCCOCC,-0.77
CN(C)C(=O)Nc1ccc(C)c(Cl)c1,-3.483
ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-6.86
CNC(=O)Oc1cccc2CC(C)(C)Oc12,-2.8
CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O ,-3.5860000000000003
CCCCO,0.0
O=c1[nH]cnc2[nH]ncc12 ,-2.266
Ic1ccccc1,-3.01
Oc1cccc(Cl)c1Cl,-1.3
Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,-6.25
CCOP(=S)(OCC)N2C(=O)c1ccccc1C2=O,-3.35
CCCCCBr,-3.08
c1ccc2ccccc2c1,-3.6
c2ccc1[nH]nnc1c2,-0.78
CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,-5.66
COC(C)(C)C,-0.24
CC(OC(=O)Nc1cccc(Cl)c1)C#C,-2.617
NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl ,-3.05
CC#C,-0.41
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-2.28
Oc1cc(Cl)cc(Cl)c1,-1.34
Oc1ccc(cc1)c2ccccc2,-3.48
C(c1ccccc1)c2ccccc2,-4.08
CCCC/C=C/C,-3.82
Oc2ncc1nccnc1n2,-1.947
Brc1cc(Br)c(Br)cc1Br,-6.98
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.24
Nc2cccc3nc1ccccc1cc23 ,-4.22
Oc2ccc1ncccc1c2 ,-2.16
CCCc1ccccc1,-3.37
Nc1ccc(cc1)S(N)(=O)=O,-1.34
Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl ,-7.8
Nc1nc[nH]n1,0.522
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12 ,-3.57
C=Cc1ccccc1,-2.82
CSc1nc(nc(n1)N(C)C)N(C)C,-2.676
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.81
CCC(=O)C,0.52
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64
O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 ,-2.84
O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-5.03
Sc2nc1ccccc1s2 ,-3.18
N#Cc1ccccc1C#N,-2.38
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-2.89
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896
Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,-2.523
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-6.237
CCCCOC(=O)c1ccc(N)cc1,-3.082
C1CCCCCC1,-3.51
CCCOC(=O)CC,-0.82
FC(F)(F)C(Cl)Br ,-1.71
CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,-3.658
CCCCC=O,-0.85
c2ccc1ocnc1c2,-1.16
Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2O,-3.953
Clc2ccc1oc(=O)[nH]c1c2,-2.8310000000000004
CCCCCCCCCC(=O)OCC,-4.1
O=C(Nc1ccccc1)Nc2ccccc2,-3.15
CCCC(C)(C)C,-4.36
CCC(O)(CC)CC,-0.85
CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,-5.839
CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.43
CCNc1nc(NC(C)(C)C)nc(OC)n1,-3.239
c1nccc(C(=O)NN)c1,0.009
CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O ,-3.38
CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,-2.62
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,-4.081
c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,-4.53
CCC(C)CC,-3.68
Nc1nc(=O)[nH]cc1F,-0.972
CCCCCC#C,-3.01
CN(C)C(=O)Nc1ccccc1,-1.6
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1 ,-0.85
ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O ,-5.4
OCCOc1ccccc1,-0.7
COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-4.432
FC(F)(Cl)C(F)(F)Cl,-2.74
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,-4.42
c1cC2C(=O)NC(=O)C2cc1,-2.932
CC(O)C(C)(C)C,-0.62
CC,-1.36
Sc1nccc(=O)[nH]1 ,-2.273
CCC(=O)OC,-0.14
FC(F)(F)c1ccccc1,-2.51
c1cccc2c3c(C)cc4ccccc4c3ccc12,-6.59
CCNc1nc(Cl)nc(NC(C)C)n1,-3.85
CC2(C)C1CCC(C)(C1)C2=O,-1.85
CC(=O)OCC(COC(=O)C)OC(=O)C,-0.6
c1c(OC)c(OC)C2C(=O)OCC2c1,-1.899
Cc1cc(C)cc(O)c1,-1.4
Cc1ccncc1C,0.36
O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.678
CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,-4.07
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,-3.18
CC(C)CC(C)O,-0.8
CCN(CC)c1ccccc1,-3.03
CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328
Oc1ccccc1Cl,-1.06
CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,-4.873
c1ccsc1,-1.33
CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34
Clc1cccc2ccccc12,-3.93
CC(C)COC=O,-1.01
CC(Cl)CCl,-1.6
ClC(Cl)C(Cl)Cl,-1.74
CNC(=O)ON=C(SC)C(=O)N(C)C,0.106
ClC2=C(Cl)C3(Cl)C1C=CCC1C2(Cl)C3(Cl)Cl ,-5.64
c2cnc1ncncc1n2,0.02
O=C1NC(=O)NC(=O)C1(C)CC,-1.228
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-9.16
c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,-8.699
CCOc2ccc1nc(sc1c2)S(N)(=O)=O ,-3.81
Cc1ccc(cc1)N(=O)=O,-2.49
CCCCCCCC(C)O,-2.74
CCOc1ccc(NC(N)=O)cc1,-2.17
CCOC(C)OCC,-0.43
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.43
Cc1c2ccccc2cc3ccccc13,-5.89
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.9
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59
c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127
Cc1c(C)c2c3ccccc3ccc2c4ccccc14,-7.01
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,-6.025
Clc1ccccc1,-2.38
CN(C)C(=O)C,1.11
COc2ncc1nccnc1n2,-1.11
c3ccc2c(O)c1ccccc1cc2c3 ,-4.73
CCC(C)C,-3.18
CCOC=C,-0.85
Cc1ccc2cc3ccccc3cc2c1,-6.96
O=N(=O)c1cccc(c1)N(=O)=O,-2.29
C1CCCC1,-2.64
CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536
CC(=C)C(=C)C,-2.4
c1ccccc1C(O)c2ccccc2,-2.55
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,-3.15
OCc1ccccc1,-0.4
C1c2ccccc2c3ccc4ccccc4c13,-6.68
CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,-5.282
CBr,-0.79
Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl ,-7.82
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.72
NC(=S)N,0.32
Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.82
Nc1nccs1 ,-0.36
CC12CCC(CC1)C(C)(C)O2 ,-1.64
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.64
Cc1ccc(C)c(C)c1,-3.31
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22
CCCOCC,-0.66
Cc1ccc(O)c(C)c1,-1.19
Cn1c(=O)n(C)c2nc[nH]c2c1=O,-1.39
CC(C)CC(C)(C)C,-4.74
Ic1cccc2ccccc12,-4.55
CC(C)I,-2.09
CCCCBr,-2.37
CCCCCC(C)(C)O,-1.72
NC(=O)N,0.96
O=C1c2ccccc2C(=O)c3ccccc13,-5.19
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,-6.005
CC(=O)C(C)(C)C,-0.72
Nc1ccc(cc1)N(=O)=O,-2.37
Clc1ccc(cc1)c2ccccc2Cl ,-5.28
CCOC(=O)c1ccccc1C(=O)OCC,-2.35
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65
c1c(Cl)cccc1c2ccccc2,-4.88
